mac_address,vendor
00:50:c2,"DASA ROBOT Co., Ltd."
00:50:c2,Performance Motion Devices
00:50:c2,eInfochips Ltd.
00:50:c2,ID-KARTA s.r.o.
00:50:c2,MISCO Refractometer
00:50:c2,CompuShop Services LLC
00:50:c2,"Elmec, Inc."
00:50:c2,HEWI Heinrich Wilke GmbH
00:50:c2,InfoGLOBAL
00:50:c2,Robot Visual Systems GmbH
00:50:c2,dB Broadcast Limited
00:50:c2,NH Research
00:50:c2,Intelleflex Corporation
00:50:c2,Acube Systems s.r.l.
00:50:c2,"WR Systems, Ltd."
00:50:c2,Precision MicroControl Corporation
00:50:c2,LS Elektronik AB
00:50:c2,DIGITROL LTD
00:50:c2,Meta Vision Systems Ltd.
00:50:c2,International Mining Technologies
00:50:c2,"Powerlinx, Inc."
00:50:c2,Primary Integration Encorp LLC
00:50:c2,Global Tel-Link
00:50:c2,IMP Telekom
00:50:c2,GE Security-Kampro
00:50:c2,"Giga-tronics, Inc."
00:50:c2,ELMAR electronic
00:50:c2,GLOBALCOM ENGINEERING SRL
00:50:c2,Telairity
00:50:c2,Austco Communication Systems Pty Ltd
00:50:c2,Quantum Medical Imaging
00:50:c2,Enertex Bayern GmbH
00:50:c2,ZAO NPC
00:50:c2,EID
00:50:c2,Mobilisme
00:50:c2,"Fluid Analytics, Inc."
00:50:c2,Saia-Burgess Controls AG
00:50:c2,cryptiris
00:50:c2,Sequestered Solutions
00:50:c2,ASKI Industrie Elektronik Ges.m.b.H.
00:50:c2,Priority Electronics Ltd
00:50:c2,Nika Ltd
00:50:c2,"T.E.AM., S. A."
00:50:c2,Pasan SA
00:50:c2,AV SatCom AS
00:50:c2,RV Technology Limited
00:50:c2,Hauch & Bach ApS
00:50:c2,Wharton Electronics Ltd
00:50:c2,Efficient Channel Coding
00:50:c2,Phytec Messtechnik GmbH
00:50:c2,MangoDSP
00:50:c2,Laser Tools & Technics Corp.
00:50:c2,ADL Electronics Ltd.
00:50:c2,"Sechan Electronics, Inc."
00:50:c2,ITS Telecom
00:50:c2,CommoDaS GmbH
00:50:c2,Stream Processors
00:50:c2,Schnick-Schnack-Systems GmbH
00:50:c2,Optoplan as
00:50:c2,Nanoradio AB
00:50:c2,"Access Specialties, Inc"
00:50:c2,Datamars SA
00:50:c2,MEGGITT Safety System
00:50:c2,Victory Concept Industries Ltd.
00:50:c2,Cadi Scientific Pte Ltd
00:50:c2,TELETASK
00:50:c2,PRICOL LIMITED
00:50:c2,SIMTEK INC.
00:50:c2,Isochron Inc
00:50:c2,"Dvation.co.,Ltd"
00:50:c2,StoreTech Limited
00:50:c2,SAIA Burgess Controls AG
00:50:c2,"Tech Comm, Inc."
00:50:c2,"Invocon, Inc."
00:50:c2,Ferrari electronic AG
00:50:c2,Naim Audio
00:50:c2,Sparton Electronics
00:50:c2,"Liquid Breaker, LLC"
00:50:c2,MA Lighting Technology GmbH
00:50:c2,Northern Power
00:50:c2,MangoDSP
00:50:c2,Stanton Technologies Sdn Bhd
00:50:c2,"dPict Imaging, Inc."
00:50:c2,Qstreams Networks Inc.
00:50:c2,"AirMatrix, Inc."
00:50:c2,CPqD
00:50:c2,STAER SPA
00:50:c2,TDM Ingénierie
00:50:c2,"NARINET, INC."
00:50:c2,MacDonald Humfrey (Products) Ltd
00:50:c2,"JungleSystem Co., Ltd."
00:50:c2,SAFELINE SL
00:50:c2,"TestPro Systems, Inc."
00:50:c2,2N TELEKOMUNIKACE a.s.
00:50:c2,Silex Industrial Automation Ltd.
00:50:c2,MEG Electronic Inc.
00:50:c2,Gazelle Monitoring Systems
00:50:c2,LEA d.o.o.
00:50:c2,FilmLight Limited
00:50:c2,TeamProjects BV
00:50:c2,Technomarine JSC
00:50:c2,"Radiant Imaging, Inc."
00:50:c2,"Buyang Electronics Industrial Co., Ltd."
00:50:c2,Syntronic AB
00:50:c2,Transenna AB
00:50:c2,ProMik GmbH
00:50:c2,ads-tec GmbH
00:50:c2,Taiwan Video & Monitor
00:50:c2,Rosta Ltd
00:50:c2,Broadlight
00:50:c2,Grosvenor Technology Ltd
00:50:c2,Ingeniería AlmudÃ­ S.L.
00:50:c2,MultiTrode Pty Ltd
00:50:c2,"Orderite, Inc."
00:50:c2,XoIP Systems Pty Ltd
00:50:c2,"DATAMICRO Co., Ltd."
00:50:c2,Digital Way
00:50:c2,SOLYSTIC
00:50:c2,WORKPOWER TECNOLOGIA ELETRONICA LTDA-EPP
00:50:c2,"ORTRAT, S.L."
00:50:c2,Last Mile Gear
00:50:c2,Moog Broad Reach
00:50:c2,"GeoFocus, LLC"
00:50:c2,Bedo Elektronik GmbH
00:50:c2,C21 Systems Limited
00:50:c2,Valtronic SA
00:50:c2,Hyundai J. Comm
00:50:c2,MMS Servis s.r.o.
00:50:c2,Smartcom-Bulgaria AD
00:50:c2,OMNITRONICS PTY LTD
00:50:c2,Digital communications Technologies
00:50:c2,EtherTek Circuits
00:50:c2,WAVES SYSTEM
00:50:c2,Polystar Instruments AB
00:50:c2,Beta Lasermike Ltd
00:50:c2,"SOWA ELECTRIC CO., LTD."
00:50:c2,Phytec Messtechnik GmbH
00:50:c2,"AC SYSTEMS, s.r.o."
00:50:c2,BES Technology Group
00:50:c2,"Cambridge Technology, Inc."
00:50:c2,"Monroe Electronics, Inc."
00:50:c2,O2RUN
00:50:c2,Logic Beach Inc
00:50:c2,"Hillcrest Laboratories, Inc."
00:50:c2,Packet Island Inc.
00:50:c2,Mandozzi Elettronica SA
00:50:c2,Criterion Systems Limited
00:50:c2,"Movaz Networks, Inc."
00:50:c2,Argon ST
00:50:c2,"Digital Dynamics, Inc."
00:50:c2,Rubin Ltd.
00:50:c2,"Black Diamond Video, Inc."
00:50:c2,"Quantum3D, Inc."
00:50:c2,Embigence GmbH
00:50:c2,Verint Systems Ltd
00:50:c2,SEBA Design Pty Ltd
00:50:c2,Orbis Oy
00:50:c2,ads-tec GmbH
00:50:c2,"GCS, Inc"
00:50:c2,Dese Technologies SL
00:50:c2,Advanced technologies & Engineering (pty) Ltd
00:50:c2,IEEE P1609 WG
00:50:c2,Mistletoe Technologies
00:50:c2,"Protium Technologies, Inc."
00:50:c2,AUCONET GmbH
00:50:c2,UNITON AG
00:50:c2,"Mobile Matrix, Inc."
00:50:c2,ads-tec GmbH
00:50:c2,Teledyne Tekmar
00:50:c2,"DENGYOSHA co.,LTD."
00:50:c2,"Ultimate Technology, Inc."
00:50:c2,BRIT Inc.
00:50:c2,Envisacor Technologies Inc.
00:50:c2,SES
00:50:c2,KOP Ltd
00:50:c2,Neuroware
00:50:c2,Ascon S.p.a.
00:50:c2,Metafix Inc.
00:50:c2,SEV Tidsystem AB
00:50:c2,"Codem Systems, Inc."
00:50:c2,Deister Electronic GmbH
00:50:c2,Matra Electronique
00:50:c2,Danbridge
00:50:c2,"Pico Computing, Inc."
00:50:c2,Offshore Systems Ltd
00:50:c2,MICRONIC s.r.o.
00:50:c2,BLEILE DATENTECHNIK GmbH
00:50:c2,"Sammi Information Systems Co.,Ltd"
00:50:c2,ARVOO Imaging Products BV
00:50:c2,Telecom Protection Technologies Limited
00:50:c2,Pinnacle Technology
00:50:c2,"Avionica, Inc"
00:50:c2,"BIR,INC."
00:50:c2,Multimessage Systems Ltd.
00:50:c2,Boundless Technologies
00:50:c2,Metrolab Technology SA
00:50:c2,Oelmann Elektronik GmbH
00:50:c2,SensoTech GmbH
00:50:c2,Talleres de Escoriaza SA
00:50:c2,"Octatron, Inc."
00:50:c2,Center VOSPI JSC
